state,district,age_0_5,age_18_greater,priority_score
Meghalaya,Eastern West Khasi Hills,3,589,0.006779661016949152
Meghalaya,South Garo Hills,568,1446,0.39322736696613686
Meghalaya,Ri Bhoi,1338,3372,0.3969759857693448
Meghalaya,East Khasi Hills,4258,9948,0.4280832244446678
Meghalaya,West Khasi Hills,2410,5310,0.453963472039164
Meghalaya,East Jaintia Hills,983,1796,0.5475792988313857
Meghalaya,North Garo Hills,457,758,0.6034255599472991
Meghalaya,East Garo Hills,1012,1674,0.604776119402985
Meghalaya,West Jaintia Hills,2382,3798,0.6272703342984997
Meghalaya,South West Khasi Hills,789,1114,0.7085201793721974
Assam,West Karbi Anglong,390,507,0.7696850393700787
Meghalaya,West Garo Hills,4545,4540,1.0011010790574764
Punjab,Kapurthala,2067,1213,1.7034596375617792
Assam,Kamrup Metro,2654,1337,1.984304932735426
Karnataka,Bengaluru Rural,1439,621,2.315112540192926
